Item number,SKU Size,Parent Bulk Item Number,Product name,GFS_ReasonName,Item in Catalog,Show pricing to web,Parent Bulk Item Site,GFS Express,Search name,Production type,Brand,CAS #,DEA Controlled,Hazardous,Hazard Class,Product service type,Packing Group,Visible in webshop
85181,SS FOR HF,8001,"AMCO CLEAR TURBIDITY STANDARD, 0.1 NTU",,Yes,Yes,25,No,"0.1 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85184,SS HF,8004,"AMCO CLEAR TURBIDITY STANDARD, 0.5 NTU",,Yes,Yes,25,No,"0.5 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85187,SS HF,8007,"AMCO CLEAR TURBIDITY STANDARD, 1.0 NTU",,Yes,Yes,25,No,"1.0 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
8519,BULK L,8519,"AMCO CLEAR TURBIDITY STANDARD, 80 NTU for HORIBA U-53",,Yes,No,25,No,"80 NTU, Horiba U-53, Amco Clear Turbidity Standard",Formula,AMCO,,No,No,,Not specified,,Yes
85191,SS HF,8011,"AMCO CLEAR TURBIDITY STANDARD, 5.0 NTU",,Yes,Yes,25,No,"5.0 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
852,BULK KG,852,"ANTIMONY POTASSIUM TARTRATE, TRIHYDRATE, REAGENT (ACS)",RAW,Yes,No,20,No,"Antimony Potassium Tartrate, Trihydrate, ACS",None,GFS GENERIC,28300-74-5,No,Yes,"6.1,",Not specified,PGIII,Yes
8520,BULK L,8520,"AMCO CLEAR TURBIDITY STANDARD, 800 NTU for HORIBA U-53",,Yes,No,25,No,"Antimony Potassium Tartrate, Trihydrate, ACS",Formula,AMCO,,No,No,,Not specified,,Yes
85200,SS HF,8017,"AMCO CLEAR TURBIDITY STANDARD, 40 NTU",,Yes,Yes,25,No,"40 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85208,SS HF,8006,"AMCO CLEAR TURBIDITY STANDARD, 0.8 NTU",,Yes,Yes,25,No,"0.8 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
8521,BULK L,8521,"AMCO CLEAR TURBIDITY STANDARD, 10 NTU for HORIBA U-52",,Yes,No,25,No,"10 NTU, Horiba U-52, Amco Clear Turbidity Standard",Formula,AMCO,,No,No,,Not specified,,Yes
85213,SS HF,8013,"AMCO CLEAR TURBIDITY STANDARD, 8.0 NTU",,Yes,Yes,25,No,"8.0 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85219,250 ML,8076,"AMCO CLEAR TURBIDITY STANDARD, 10 FNU for HF IR INSTRUMENTS",,Yes,Yes,25,No,"10 FNU, HR IR Instruments, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
8522,BULK L,8522,"AMCO CLEAR TURBIDITY STANDARD, 100 NTU for HORIBA U-52",,Yes,No,25,No,"100 NTU, Horiba U-52, Amco Clear Turbidity Standard",Formula,AMCO,,No,No,,Not specified,,Yes
85220,1 GAL,8076,"AMCO CLEAR TURBIDITY STANDARD, 10 FNU for HF IR INSTRUMENTS",,Yes,Yes,25,No,"10 FNU, HR IR Instruments, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85221,250 ML,8329,"AMCO CLEAR TURBIDITY STANDARD, 100 FNU for HF IR INSTRUMENTS",,Yes,No,25,No,"100 FNU For HF IR Instruments, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85223,250 ML,8079,"AMCO CLEAR TURBIDITY STANDARD, 1750 NTU for HF MICRO1000WL",,Yes,Yes,25,No,"1750 NTU, HF Micro 1000 Wl, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85228,SS 2100A,8001,"AMCO CLEAR TURBIDITY STANDARD, 0.1 NTU",,Yes,Yes,25,No,"0.1 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85229,SS HACH,8002,"AMCO CLEAR TURBIDITY STANDARD, 0.2 NTU",,Yes,Yes,25,No,"0.2 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
8523,BULK L,8523,"AMCO CLEAR TURBIDITY STANDARD, 800 NTU for HORIBA U-52",,Yes,No,25,No,"800 NTU, Horiba U-52, Amco Clear Turbidity Standard",Formula,AMCO,,No,No,,Not specified,,Yes
